No. ,Orgin date,Longitude(E),Latitude(N),Magnitude,Depth,Location
Small area,2024-05-10 06:40:57,121.837,24.194,3.6,6.7,24.19N 121.84E, i.e. 31.5 km NE of Hualien County(24.19N 121.84E, i.e. 31.5 km NE of Hualien County)
378   ,2024-05-09 20:36:25,121.616,23.9085,4.6,10.5,23.91N 121.62E, i.e. 9.1 km S of Hualien County(23.91N 121.62E, i.e. 9.1 km S of Hualien County)
Small area,2024-05-09 11:02:44,121.64,24.0505,3.5,11.5,24.05N 121.64E, i.e. 6.9 km NNE of Hualien County(24.05N 121.64E, i.e. 6.9 km NNE of Hualien County)
Small area,2024-05-09 05:35:49,121.649,23.8695,3.8,26.4,23.87N 121.65E, i.e. 13.8 km SSE of Hualien County(23.87N 121.65E, i.e. 13.8 km SSE of Hualien County)
Small area,2024-05-08 19:31:27,122.471,24.1063,4.8,29.3,24.11N 122.47E, i.e. 87.5 km E of Hualien County(24.11N 122.47E, i.e. 87.5 km E of Hualien County)
377   ,2024-05-08 16:40:43,121.582,23.747,4.7,5,23.75N 121.58E, i.e. 27.3 km S of Hualien County(23.75N 121.58E, i.e. 27.3 km S of Hualien County)
Small area,2024-05-08 14:36:00,121.505,23.6955,3.9,5,23.70N 121.51E, i.e. 34.8 km SSW of Hualien County(23.70N 121.51E, i.e. 34.8 km SSW of Hualien County)
Small area,2024-05-08 09:05:46,121.611,23.903,3.4,10.7,23.90N 121.61E, i.e. 9.8 km S of Hualien County(23.90N 121.61E, i.e. 9.8 km S of Hualien County)
Small area,2024-05-08 06:09:51,121.596,23.9148,3.3,8.5,23.91N 121.60E, i.e. 8.8 km SSW of Hualien County(23.91N 121.60E, i.e. 8.8 km SSW of Hualien County)
Small area,2024-05-08 05:05:36,121.598,23.9168,3,10.3,23.92N 121.60E, i.e. 8.5 km SSW of Hualien County(23.92N 121.60E, i.e. 8.5 km SSW of Hualien County)
Small area,2024-05-08 04:21:10,121.577,23.931,3.1,11.8,23.93N 121.58E, i.e. 8.0 km SW of Hualien County(23.93N 121.58E, i.e. 8.0 km SW of Hualien County)
376   ,2024-05-08 04:19:58,121.614,23.9157,4.4,8.3,23.92N 121.61E, i.e. 8.4 km S of Hualien County(23.92N 121.61E, i.e. 8.4 km S of Hualien County)
375   ,2024-05-08 01:21:16,121.465,23.7657,4.2,7.9,23.77N 121.47E, i.e. 29.5 km SW of Hualien County(23.77N 121.47E, i.e. 29.5 km SW of Hualien County)
Small area,2024-05-07 23:07:17,121.868,24.2838,3.7,10.8,24.28N 121.87E, i.e. 41.1 km NE of Hualien County(24.28N 121.87E, i.e. 41.1 km NE of Hualien County)
